url;titulo;precio;precio millones;area;precio por metro;precio por metro millones;habitaciones;banos;parqueadero;Estrato;Sector;Admón;Admon por mt 2;Estado;Antigüedad;Piso No
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aguacatala-det-3163837.aspx;Apartamento en Venta Medellín La Aguacatala;350000000;350;101;3465346,535;3,465346535;2;2;1;5;;360000;3564; Excelente; 9 a 15 años; 8º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/loma_del_indio-det-3162271.aspx;Apartamento en Venta Medellín Loma del Indio;185000000;185;57;3245614,035;3,245614035;2;2;1;5;;178000;3123; Excelente; 9 a 15 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3159632.aspx;Apartamento en Venta Medellín El Poblado;325000000;325;110;2954545,455;2,954545455;3;3;1;5;;;0; Bueno; 9 a 15 años; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3164966.aspx;Apartamento en Venta Medellín El Poblado;355000000;355;80;4437500;4,4375;1;2;1;5;;380000;4750; Excelente;; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/aguacatala-det-3161629.aspx;Apartamento en Venta Medellín AGUACATALA;410000000;410;147;2789115,646;2,789115646;3;2;1;5;Aguacatala;400000;2721; Excelente; Más de 30 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3137400.aspx;Apartamento en Venta Medellín Ciudad del Río;420000000;420;77;5454545,455;5,454545455;2;2;1;5;;180000;2338; Remodelar; 1 a 8 años;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-2663580.aspx;Apartamento en Venta Medellín El Poblado;370000000;370;165;2242424,242;2,242424242;3;3;1;5;;560000;3394; Bueno; 16 a 30 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/suroriente-det-3156789.aspx;Apartamento en Venta Medellín SurOriente;385000000;385;74;5202702,703;5,202702703;2;2;1;5;;224000;3027; Excelente; Menos de 1 año; 15º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3154145.aspx;Apartamento en Venta Medellín El Poblado;250000000;250;79;3164556,962;3,164556962;4;3;1;5;;353000;4468;;;
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/ciudad_del_rio-det-3156045.aspx;Apartamento en Venta Medellín Ciudad del Río;395000000;395;85;4647058,824;4,647058824;4;2;1;5;;197000;2318; Excelente; 1 a 8 años; 10º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/visitacion-det-3153279.aspx;Apartamento en Venta Medellín La Visitación;260000000;260;74;3513513,514;3,513513514;2;2;1;5;;458000;6189; Excelente; 1 a 8 años; 3º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/poblado-det-3121676.aspx;Apartamento en Venta Medellín El Poblado;290000000;290;74;3918918,919;3,918918919;3;2;1;5;;240000;3243; Bueno; 9 a 15 años; 5º
https://www.fincaraiz.com.co/apartamento-en-venta/medellin/castropol-det-3150988.aspx;Apartamento en Venta Medellín Castropol;450000000;450;262;1717557,252;1,717557252;5;4;1;5;;560050;2138; Excelente; 16 a 30 años; 5º
